sequence,nominal_run_id,rotation_z_5deg_run_id,nominal_ate_rmse_m,rotation_z_5deg_ate_rmse_m,ate_increase_x,nominal_rpe_trans_rmse_m,rotation_z_5deg_rpe_trans_rmse_m,nominal_rpe_rot_rmse_deg,rotation_z_5deg_rpe_rot_rmse_deg,nominal_completion_rate,rotation_z_5deg_completion_rate
MH_01_easy,openvins_MH01_nominal_full_000,openvins_MH01_rot_z_5deg_full_000,0.139204,2.064969,14.834121145944083,0.048954,0.194584,0.268658,0.343487,0.740891,0.740881
MH_03_medium,openvins_MH03_nominal_full_000,openvins_MH03_rot_z_5deg_full_000,0.107259,831.507723,7752.335216625179,0.004381,1.944413,0.018141,0.072117,0.615182,0.615182
