rotation_z_deg,ate_rmse_m,rpe_trans_rmse_m,rpe_rot_rmse_deg,completion_rate,status,run_id
0.0,0.079973,0.032763,0.225416,0.740881,success,openvins_MH01_nominal_full_000
0.5,0.100281,0.029226,0.229276,0.740881,success,openvins_MH01_rot_z_0p5deg_full_000
1.0,0.117957,0.033253,0.260834,0.740881,success,openvins_MH01_rot_z_1deg_full_000
2.0,0.188732,0.042565,0.237368,0.740881,success,openvins_MH01_rot_z_2deg_full_000
5.0,2.064969,0.194584,0.343487,0.740881,success,openvins_MH01_rot_z_5deg_full_000
